product_id,brand_class,colour,gender,type,price_pack
21014,middle,white,women,tshirt,29.5
21015,middle,white,women,tshirt,30.0
21016,middle,white,women,tshirt,30.5
21017,middle,white,women,tshirt,31.5
21018,middle,white,women,tshirt,32.5
21019,middle,white,women,tshirt,32.5
21020,middle,white,women,tshirt,32.5
21021,middle,white,women,top,32.5
21022,middle,white,women,tshirt,34.0
21023,middle,white,women,tshirt,34.0
21024,middle,white,women,tshirt,36.0
21025,middle,white,women,dress,40.0
21026,middle,white,women,top,42.0
21027,middle,gold,men,tshirt,21.0
21028,middle,gold,women,tshirt,32.5
21029,middle,gray,men,tshirt,21.0
21030,middle,gray,women,tshirt,26.0
21031,middle,gray,women,top,29.0
21032,middle,gray,women,dress,37.5
21033,middle,gray,women,tshirt,48.0
21034,middle,gray,women,dress,52.0
21035,middle,brown,men,top,39.0
21036,middle,brown,women,dress,25.5
21037,middle,brown,women,tshirt,27.5
21038,middle,brown,women,tshirt,30.0
21039,middle,brown,women,dress,30.0
21040,middle,brown,women,tshirt,30.5
21041,middle,brown,women,tshirt,31.0
21042,middle,brown,women,tshirt,34.5
21043,middle,brown,women,tshirt,37.5
21044,middle,brown,women,tshirt,40.0
21045,middle,brown,women,dress,44.5
21046,middle,brown,women,top,45.5
21047,middle,purple,women,tshirt,12.24
21048,middle,purple,women,tshirt,19.24
21049,middle,purple,women,tshirt,27.0
21050,middle,purple,women,tshirt,28.0
21051,middle,purple,women,dress,28.5
21052,middle,orange,women,tshirt,20.0
21053,middle,orange,women,tshirt,34.0
21054,middle,black,men,tshirt,17.0
21055,middle,black,men,tshirt,23.0
21056,middle,black,women,top,20.89
21057,middle,black,women,tshirt,21.0
21058,middle,black,women,tshirt,21.0
21059,middle,black,women,tshirt,22.5
21060,middle,black,women,dress,23.0
21061,middle,black,women,tshirt,26.0
21062,middle,black,women,tshirt,28.0
21063,middle,black,women,dress,28.5
21064,middle,black,women,tshirt,29.0
21065,middle,black,women,tshirt,32.5
21066,middle,black,women,tshirt,34.0
21067,middle,black,women,top,37.5
21068,middle,black,women,tshirt,37.5
21069,middle,black,women,top,42.0
21070,middle,black,women,dress,42.0
21071,middle,black,women,dress,45.5
21072,middle,black,women,dress,48.0
21073,middle,red,men,tshirt,30.0
21074,middle,pink,women,tshirt,12.24
21075,middle,pink,women,tshirt,21.0
21076,middle,pink,women,tshirt,21.0
21077,middle,pink,women,tshirt,28.0
21078,middle,pink,women,tshirt,30.5
21079,middle,pink,women,tshirt,32.0
21080,middle,pink,women,top,49.0
21081,middle,green,women,tshirt,15.0
21082,middle,green,women,top,23.0
21083,middle,green,women,tshirt,30.0
21084,middle,green,women,tshirt,32.5
21085,high,blue,men,tshirt,23.0
21086,high,blue,men,tshirt,26.0
21087,high,blue,women,tshirt,22.5
21088,high,blue,women,tshirt,23.0
21089,high,white,men,tshirt,15.5
21090,high,white,men,tshirt,70.0
21091,high,white,men,tshirt,70.0
21092,high,white,women,tshirt,15.5
21093,high,white,women,tshirt,27.0
21094,high,white,women,tshirt,30.0
21095,high,white,women,tshirt,65.0
21096,high,white,women,tshirt,70.0
21097,high,white,women,tshirt,70.0
21098,high,black,men,tshirt,19.5
21099,high,black,women,tshirt,19.5
21100,high,black,women,tshirt,26.5
21101,high,black,women,tshirt,27.0
21102,high,black,women,tshirt,30.0
21103,high,black,women,tshirt,30.0
21104,high,black,women,tshirt,30.0
21105,high,black,women,tshirt,32.0
21106,high,black,women,tshirt,34.0
21107,high,black,women,tshirt,38.5
21108,high,black,women,tshirt,38.5
21109,high,red,women,tshirt,26.5
21110,middle,blue,men,tshirt,21.0
21111,middle,blue,women,tshirt,34.0
21112,middle,white,women,tshirt,24.0
21113,middle,gray,men,tshirt,18.5
21114,middle,gray,men,top,28.0
21115,middle,gray,women,top,29.5
21116,middle,gray,women,top,30.0
21117,middle,purple,women,tshirt,19.5
21118,middle,black,men,tshirt,31.5
21119,middle,black,women,top,34.0
21120,middle,red,women,top,36.0
21121,middle,pink,men,top,28.0
21122,middle,green,men,tshirt,28.0
21123,middle,green,men,top,42.0
21124,middle,white,men,tshirt,42.0
21125,middle,gray,men,tshirt,36.0
21126,middle,purple,men,tshirt,23.5
21127,middle,black,men,tshirt,45.5
21128,middle,black,men,tshirt,57.5
21129,middle,yellow,men,tshirt,42.0
21130,middle,yellow,women,tshirt,21.0
21131,middle,yellow,women,tshirt,30.0
21132,middle,blue,men,tshirt,27.0
21133,middle,blue,men,tshirt,31.5
21134,middle,blue,men,tshirt,36.0
21135,middle,blue,men,top,45.5
21136,middle,blue,women,tshirt,27.0
21137,middle,blue,women,top,52.0
21138,middle,beige,men,tshirt,28.0
21139,middle,white,men,tshirt,24.5
21140,middle,white,men,tshirt,31.5
21141,middle,white,women,tshirt,26.0
21142,middle,gray,women,tshirt,20.5
21143,middle,brown,men,tshirt,21.0
21144,middle,brown,men,tshirt,26.0
21145,middle,brown,men,tshirt,27.0
21146,middle,brown,men,tshirt,36.0
21147,middle,purple,women,top,26.0
21148,middle,purple,women,tshirt,31.5
21149,middle,purple,women,tshirt,31.5
21150,middle,black,men,tshirt,28.0
21151,middle,black,women,top,19.5
21152,middle,black,women,tshirt,21.0
21153,middle,black,women,top,27.0
21154,middle,black,women,tshirt,34.0
21155,middle,black,women,tshirt,52.0
21156,middle,black,women,tshirt,84.0
21157,middle,red,men,tshirt,30.5
21158,middle,red,men,tshirt,38.5
21159,middle,red,men,top,42.0
21160,middle,pink,men,top,63.0
21161,middle,pink,women,tshirt,26.0
21162,middle,pink,women,tshirt,30.0
21163,middle,pink,women,top,49.0
21164,middle,green,women,top,37.0
21165,middle,yellow,men,tshirt,27.0
21166,middle,blue,men,tshirt,20.0
21167,middle,blue,women,tshirt,17.5
21168,middle,blue,women,tshirt,37.5
21169,middle,white,men,tshirt,21.0
21170,middle,white,men,tshirt,21.5
21171,middle,white,men,tshirt,28.0
21172,middle,white,women,tshirt,21.0
21173,middle,white,women,tshirt,24.5
21174,middle,brown,men,tshirt,30.5
21175,middle,purple,women,tshirt,19.0
21176,middle,purple,women,top,27.5
21177,middle,purple,women,tshirt,45.0
21178,middle,multicolor,women,tshirt,24.0
21179,middle,black,men,tshirt,21.0
21180,middle,black,men,tshirt,23.0
21181,middle,black,men,tshirt,32.5
21182,middle,black,women,top,18.54
21183,middle,black,women,top,31.5
21184,middle,black,women,tshirt,32.0
