brand,description,price,colour,colour_simp,colour_simp2
ASOS DESIGN,Vestido camisero corto con estampado de ondas y mangas raglán de sarga de ASOS DESIGN,"34,50 €",diseno ondulado,,
Nobody's Child,Vestido midi de manga larga con estampado de lunares luminosos Siri de Nobody's Child,"43,00 €",lunares luminosos,,
JDY,Vestido verde estilo sudadera Alexandra de JDY,"19,00 €",atlantico norte,,
JDY,Vestido corto rosa de punto Charly de JDY,"38,99 €",palisandro,,
ASOS DESIGN,Vestido corto con estampado de cebra difuminado y mangas acampanadas de ASOS DESIGN,"15,00 €",cebra difuminada,,
Fire & Glory,Vestido verde estilo camiseta con cuello alto Alicia de Fire & Glory,"12,50 €",citron oscuro,,
Mama.licious,Vestido corto marrón de lactancia con volantes en el cuello y diseño funcional efecto 2 capas de punto de Mamalicious Maternity,"35,00 €",capuchino,,
Threadbare Petite,Vestido midi color sangría con botones de punto Elm de Threadbare Petite,"22,00 €",sangria,,
Fire & Glory,Vestido midi marrón ajustado de Fire & Glory,"15,00 €",chicory coffee,,
Pretty Lavish,Vestido camisero semilargo color ostra abotonado de Pretty Lavish,"76,00 €",ostra,,
Tommy Jeans,Vestido rojo estilo camiseta con hombro descubierto y logo de estilo universitario exclusivo de Tommy Jeans x ASOS,"58,50 €",carmesi,,
Barbour,Vestido camisero a cuadros Lorna exclusivo de Barbour x ASOS,"64,00 €",cuadros,,
ASOS Curve,"Vestido largo a cuadros vichy naranjas con estampado de margaritas, escote cuadrado y espalda cruzada de ASOS DESIGN Curve","29,00 €",cuadros vichy con margaritas,,
Noisy May,Vestido corto verde lima con detalle de lazada de Noisy May,"10,50 €",mariposa,,
ASOS Curve,Vestido midi lila y rojo cruzado con estampado estilo patchwork y cinturón de ASOS DESIGN Curve,"20,00 €",patchwork,,
Levi's,Vestido estilo wéstern con lavado oscuro de Levi's,"80,50 €",lavado anil,,
Free People,Vestido midi color marfil con bordado de flores de cactus de Free People,"177,50 €",combinacion lazy bones,,
Pieces,Vestido azul con capucha de punto Ribbi de Pieces,"20,00 €",ultramarino profundo,,
ASOS Curve,Vestido midi monocromático plisado de manga larga con detalle en el pecho y estampado de margaritas de ASOS DESIGN Curve,"33,50 €",margaritas monocolor,,
Glamorous Petite,Vestido midi estilo mesonera con mangas abullonadas y estampado de cerezas de Glamorous Petite,"39,50 €",cerezas,,
Vila,Vestido midi monocromático amplio con estampado floral llamativo de Vila,"20,00 €",flores monocromaticas,,
Aligne,Vestido camisero corto con estampado floral vintage y detalle de volantes de algodón orgánico de Aligne,"25,99 €",flores vintage,,
Topshop,Vestido midi azul cobalto amplio sin mangas de satén premium de Topshop,"23,00 €",cobalto,,
Only Curve,Vestido largo negro con estampado de cuadros dameros y flores de Only Curve,"20,00 €",floral,,
Glamorous Petite,"Vestido corto en tonos pastel escalonado con estampado de margaritas, mangas abullonadas y lazada en la espalda de Glamorous Petite","14,00 €",margaritas pastel,,
In Wear,Vestido rosa melón amplio a cuadros Vanida de In Wear,"57,50 €",melon,,
Noisy May,Vestido corto beis de tirantes con laterales fruncidos de punto de Noisy May,"14,00 €",cepillo,,
In Wear,Vestido midi color crema con cuello de pico de punto grueso Issa de In Wear,"54,00 €",whisper,,
ASOS DESIGN,"Vestido de tarde corto negro con estampado floral, falda de godets y lazada delantera de ASOS DESIGN","12,00 €",base negra floral,,
Noisy May,Vestido multicolor de manga corta con cuello tipo polo de Noisy May,"24,00 €",lava fundida,,
ASOS Petite,"Vestido corto rojo plisado con estampado de margaritas, mangas acampanadas y detalle de botones de ASOS DESIGN Petite","21,00 €",margaritas rojas,,
ASOS DESIGN,Vestido midi negro plisado con estampado floral y detalle anudado de ASOS DESIGN,"21,00 €",efecto tie dye,,
French Connection,Vestido de tarde midi negro con estampado de estrellas de French Connection,"50,00 €",estrella negra,,
ASOS DESIGN,"Vestido de tarde corto blanco con estampado floral multicolor, abertura triangular y detalle de botones de ASOS DESIGN","14,50 €",floral con base blanca,,
ASOS DESIGN,Vestido midi lila y rojo cruzado con estampado de patchwork y cinturón de ASOS DESIGN,"37,00 €",patchwork,,
The Frolic,Vestido corto negro y rosa con mangas voluminosas y diseño floral de jacquard de The Frolic,"29,50 €",jacquard floral,,
Pieces,Vestido corto caqui amplio con bajo asimétrico Darala de Pieces,"17,50 €",tortuga marina,,
Parallel Lines,Vestido corto color terracota con aberturas y mangas abullonadas de Parallel Lines,"23,50 €",terracota,,
In Wear,Vestido amarillo amplio con vuelo Monisha de In Wear,"117,99 €",anise,,
Bailey Rose,Vestido corto a rayas rosas con abertura y detalle retorcido en el busto de punto de Bailey Rose,"31,50 €",uva,,
Whistles,Vestido corto azul con solapas de cambray de Whistles,"61,00 €",denim,,
Vero Moda,Vestido corto rojo luminoso estampado con mangas abullonadas y escote cuadrado de Vero Moda,"14,00 €",escarlata vivo,,
ASOS Petite,Vestido veraniego de tirantes con estampado retro y escote cuadrado de ASOS DESIGN Petite,"13,00 €",floral retro,,
ASOS DESIGN,Vestido corto rosa estilo palabra de honor con estampado floral abstracto de satén de ASOS DESIGN,"11,00 €",floral abstracto,,
LOLA MAY TALL,Vestido camisero amarillo verdoso con bajo asimétrico de Lola May Tall,"20,00 €",chartreuse,,
LOLA MAY PETITE,Vestido midi amplio con estampado de lunares y pecho fruncido de Lola May Petite,"33,99 €",rubor,,
